#,Country (or dependency),Population 2026,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
75,Guinea,15441993,2.27,342266,63,245720,0,3.96,18.5,40.9,0.19
76,Benin,15170419,2.4,355959,135,112760,0,4.34,18.2,48.4,0.18
77,Rwanda,14889693,2.2,320352,604,24670,0,3.54,20.2,18.5,0.18
78,Burundi,14729157,2.36,339154,574,25680,0,4.57,16.6,15.4,0.18
79,Bolivia,12749291,1.33,167448,12,1083300,0,2.47,25.5,71,0.15
80,South Sudan,12436037,2.03,247249,20,610952,7974,3.63,19,28.3,0.15
81,Tunisia,12415138,0.54,66565,80,155360,0,1.79,33.4,72.2,0.15
82,Haiti,12037506,1.1,131411,437,27560,0,2.55,24.3,62.4,0.15
83,Belgium,11774642,0.14,16039,389,30280,29607,1.4,42.1,99,0.14
84,Dominican Republic,11609500,0.77,89013,240,48320,0,2.17,28.7,86.9,0.14
85,Jordan,11589532,0.6,68848,131,88780,60699,2.54,24.9,85.4,0.14
86,United Arab Emirates,11574682,2.02,228682,138,83600,87401,1.21,31.6,80.7,0.14
87,Honduras,11184760,1.63,178910,100,111890,0,2.42,24.6,58.8,0.13
88,Tajikistan,10978599,1.78,191865,78,139960,0,2.96,22.4,28,0.13
89,Papua New Guinea,10947848,1.72,185031,24,452860,0,2.99,23,12.7,0.13
90,Cuba,10892659,0,0,102,106440,0,1.46,42.5,82.4,0.13
91,Sweden,10701047,0.42,44414,26,410340,42755,1.45,40.4,87.7,0.13
92,Czech Republic (Czechia),10527781,0,0,136,77240,13400,1.47,44.3,75.7,0.13
93,Azerbaijan,10454855,0.55,57142,126,82658,7708,1.66,34.1,59.1,0.13
94,Portugal,10395362,0,0,113,91590,16968,1.52,47.2,66.9,0.13
95,Togo,9930918,2.15,209310,183,54390,0,4.01,19.2,44.8,0.12
96,Greece,9897115,0,0,77,128900,14649,1.34,47.1,90,0.12
97,Israel,9647689,1.37,130508,446,21640,13023,2.73,29.3,91.5,0.12
98,Hungary,9585818,0,0,106,90530,12936,1.5,44.2,72.4,0.12
99,Austria,9107266,0,0,111,82409,13212,1.34,43.9,59,0.11
100,Switzerland,9007798,0.45,40391,228,39516,34096,1.45,43.2,74.6,0.11
101,Sierra Leone,8996745,2.01,176951,125,72180,0,3.53,19.9,46,0.11
102,Belarus,8937018,0,0,44,202910,0,1.23,41.8,85.1,0.11
103,Laos,7974017,1.28,100971,35,230800,0,2.33,25.3,38.9,0.1
104,Turkmenistan,7736632,1.55,117785,16,469930,11792,2.6,27.3,46.7,0.09
105,Libya,7539851,1.09,81296,4,1759540,2610,2.21,28,77.7,0.09
106,Kyrgyzstan,7400465,1.45,105431,39,191800,39,2.72,25.5,35.5,0.09
107,Hong Kong,7378602,0,0,7027,1050,0,0.75,47.9,0,0.09
108,Nicaragua,7097329,1.28,89827,59,120340,0,2.16,26.3,58.2,0.09
109,Paraguay,7095279,1.17,82201,18,397300,0,2.37,27.3,68.3,0.09
110,Bulgaria,6667659,0,0,61,108560,0,1.74,45,77.4,0.08
111,Serbia,6641964,0,0,76,87460,0,1.5,44.7,74.2,0.08
112,Congo,6637785,2.36,153348,19,341500,0,3.99,18.7,70.3,0.08
113,El Salvador,6391253,0.4,25750,308,20720,0,1.74,28.4,80.5,0.08
114,Denmark,6023520,0.35,21013,142,42430,18360,1.52,41.3,87.6,0.07
115,Singapore,5905748,0.6,34998,8437,700,13379,0.97,36.8,0,0.07
116,Lebanon,5897467,0.82,48046,576,10230,0,2.19,29,84.4,0.07
117,Liberia,5853949,2.14,122743,61,96320,0,3.71,19,55.7,0.07
118,Central African Republic,5698984,3.37,185702,9,622980,0,5.69,14.6,44.5,0.07
119,State of Palestine,5692790,1.85,103167,946,6020,0,3.13,20.3,85,0.07
120,Oman,5671458,3.22,176767,18,309500,79740,2.44,29.8,89.6,0.07
121,Norway,5652989,0.53,29918,15,365268,12047,1.42,40.1,86.5,0.07
122,Finland,5621739,0,0,18,303890,12666,1.3,43.4,87.1,0.07
123,Mauritania,5461319,2.75,146254,5,1030700,0,4.49,17.5,60.9,0.07
124,Slovakia,5451342,0,0,113,48088,134,1.57,42.8,54.3,0.07
125,Ireland,5356950,0.92,48911,78,68890,32022,1.6,39.2,62.2,0.07
126,New Zealand,5287479,0.68,35580,20,263310,16435,1.64,38,83.7,0.06
127,Costa Rica,5174789,0.42,21839,101,51060,966,1.31,35.7,85.9,0.06
128,Kuwait,5102773,1.53,76695,286,17820,30696,1.49,34.8,91.3,0.06
129,Panama,4625718,1.19,54529,62,74340,5665,2.07,30.6,71.1,0.06
130,Croatia,3822345,0,0,68,55960,0,1.47,45.5,62.2,0.05
131,Georgia,3804642,0,0,55,69490,1215,1.78,37.6,62.2,0.05
132,Eritrea,3682669,2.1,75666,36,101000,0,3.55,19.5,75.9,0.04
133,Mongolia,3556798,1.13,39698,2,1553560,12,2.54,27,67.3,0.04
134,Uruguay,3382537,0,0,19,175020,0,1.38,36.7,0,0.04
135,Puerto Rico,3222688,0,0,363,8870,1056,0.94,46.2,0,0.04
136,Qatar,3173559,1.85,57670,273,11610,24791,1.69,33.4,96.2,0.04
137,Namibia,3153246,1.95,60430,4,823290,47,3.13,21.5,55.2,0.04
138,Bosnia and Herzegovina,3114242,0,0,61,51000,0,1.5,46.1,57.1,0.04
139,Moldova,2961253,0,0,90,32850,0,1.72,39.1,58.5,0.04
140,Armenia,2930915,0,0,103,28470,0,1.71,37.2,64.4,0.04
141,Gambia,2884079,2.2,61986,285,10120,0,3.7,18.8,62.2,0.04
142,Jamaica,2833403,0,0,262,10830,0,1.33,33.3,60.7,0.03
143,Lithuania,2797338,0,0,45,62674,0,1.22,42.6,68.9,0.03
144,Albania,2751025,0,0,100,27400,0,1.32,37.8,71.6,0.03
145,Gabon,2647399,2.09,54269,10,257670,1152,3.49,21.6,83.8,0.03
146,Botswana,2603388,1.61,41266,5,566730,0,2.63,23.7,76.1,0.03
147,Lesotho,2389336,1.1,26011,79,30360,0,2.61,22.1,33.3,0.03
148,Guinea-Bissau,2297808,2.15,48293,82,28120,0,3.62,19.6,46.6,0.03
149,Slovenia,2114573,0,0,105,20140,2609,1.58,45,56.1,0.03
150,Equatorial Guinea,1984468,2.37,46037,71,28050,3533,3.96,20.9,64.2,0.02
151,Latvia,1835935,0,0,30,62200,0,1.35,43.8,67.7,0.02
152,North Macedonia,1804063,0,0,72,25220,0,1.47,41.4,70.3,0.02
153,Bahrain,1675572,1.96,32240,2205,760,14280,1.77,33.4,0,0.02
154,Trinidad and Tobago,1513268,0.14,2113,295,5130,160,1.52,38.2,49.1,0.02
155,Timor-Leste,1436923,1.3,18406,97,14870,0,2.5,22.1,36.7,0.02
156,Cyprus,1382334,0.84,11580,150,9240,7210,1.37,39.1,61.1,0.02
157,Estonia,1331062,0,0,31,42390,0,1.38,43.2,67.5,0.02
158,Eswatini,1269859,1.09,13685,74,17200,0,2.64,22.7,31.7,0.02
159,Mauritius,1265059,0,0,623,2030,0,1.21,38.3,41.8,0.02
160,Djibouti,1199459,1.3,15383,52,23180,302,2.54,25.2,71.4,0.01
161,Fiji,937282,0.44,4128,51,18270,0,2.23,28.3,61.3,0.01
162,Comoros,899010,1.83,16163,483,1861,0,3.71,20.7,34,0.01
163,Réunion,886298,0.44,3893,355,2500,0,2.12,38.4,0,0.01
164,Solomon Islands,858288,2.34,19643,31,27990,1570,3.42,20.9,23,0.01
165,Guyana,840890,0.59,4904,4,196850,0,2.35,26.5,26.8,0.01
166,Bhutan,802214,0.69,5532,21,38117,633,1.43,31,51.1,0.01
167,Macao,723188,0.16,1181,24106,30,826,0.7,40.3,98.3,0.01
168,Luxembourg,687448,1.03,6995,265,2590,4938,1.41,39.7,87.4,0.01
169,Suriname,645256,0.84,5406,4,156000,0,2.19,28.9,62.4,0.01
170,Montenegro,626233,0,0,47,13450,0,1.79,40.4,69.7,0.01
171,Western Sahara,610813,1.65,9909,2,266000,4689,2.13,32.8,97.6,0.01
172,Malta,549011,0.66,3606,1716,320,2157,1.12,41.5,76.2,0.01
173,Maldives,531517,0.35,1841,1772,300,0,1.53,33.4,40.3,0.01
174,Cabo Verde,529630,0.44,2304,131,4030,0,1.49,29.5,79.6,0.01
175,Brunei,469775,0.74,3445,89,5270,8,1.7,33.2,80.6,0.01
176,Belize,428644,1.35,5720,19,22810,392,1.99,27.3,49,0.01
177,Bahamas,404628,0.4,1595,40,10010,902,1.36,35.7,88.9,0
178,Iceland,402329,1.02,4063,4,100250,2027,1.49,36.6,83.7,0
179,Guadeloupe,372453,0,0,220,1690,0,2.04,47.4,0,0
180,Mayotte,347536,3.12,10525,927,375,0,4.43,17.3,41.1,0
181,Vanuatu,342564,2.21,7395,28,12190,0,3.5,20.3,25.5,0
182,Martinique,337711,0,0,319,1060,0,1.95,50.2,0,0
183,French Guiana,318872,1.66,5206,4,82200,0,3.25,24.9,95.2,0
184,New Caledonia,297892,0.87,2559,16,18280,348,1.93,34.8,76.3,0
185,French Polynesia,283076,0.22,611,77,3660,0,1.47,36.7,66.3,0
186,Barbados,282724,0.04,101,657,430,0,1.71,39.7,32.7,0
187,Sao Tome & Principe,244994,1.97,4740,255,960,0,3.47,19.7,78.9,0
188,Samoa,220528,0.56,1222,78,2830,0,3.7,19.8,16.3,0
189,Curaçao,185440,0,0,418,444,462,1.07,39,81.2,0
190,Saint Lucia,180488,0.19,339,296,610,0,1.37,35.1,20.1,0
191,Guam,170185,0.7,1186,315,540,0,2.68,31.6,98.9,0
192,Kiribati,138445,1.43,1957,171,810,0,3.06,23,57.9,0
193,Seychelles,134959,1.64,2180,293,460,1367,2.06,34.6,43.4,0
194,Grenada,117362,0.05,59,345,340,0,1.45,34.9,35.8,0
195,Micronesia,114183,0.44,500,163,700,0,2.67,23.5,23.8,0
196,Aruba,108164,0.02,17,601,180,73,1.6,41.7,45.1,0
197,Tonga,103291,0,0,143,720,0,3.04,21,26.4,0
198,St. Vincent & Grenadines,99245,0,0,254,390,0,1.73,34.7,62.6,0
199,Antigua and Barbuda,94626,0.44,417,215,440,0,1.57,36.7,28.6,0
200,Isle of Man,84055,0,0,147,570,158,1.53,46.3,57.3,0
201,Andorra,83753,1.02,849,178,470,751,1.1,44.2,81.6,0
202,U.S. Virgin Islands,83400,0,0,238,350,0,2.05,44.9,0,0
203,Cayman Islands,77196,1.78,1352,322,240,888,1.5,39.1,88.5,0
204,Dominica,65511,0,0,87,750,0,1.46,36.6,85.6,0
205,Bermuda,64459,0,0,1289,50,0,1.42,46.4,93,0
206,Faeroe Islands,56526,0.94,524,40,1396,311,2.19,37.1,39.5,0
207,Greenland,55629,0,0,0,410450,0,1.9,35.5,91.2,0
208,Turks and Caicos,47148,0.63,293,50,950,151,1.43,39.6,80,0
209,Saint Kitts & Nevis,46992,0.15,70,181,260,11,1.5,36.5,39.8,0
210,American Samoa,45319,0,0,227,200,0,2.22,29.1,0,0
211,Sint Maarten,44447,1.19,524,1307,34,485,1.42,42,99.6,0
212,Northern Mariana Islands,42914,0,0,93,460,0,2.24,38.8,0,0
213,Gibraltar,40867,1.85,741,4087,10,480,1.88,38.8,87.1,0
214,Liechtenstein,40368,0.6,240,252,160,193,1.54,44.7,14.8,0
215,British Virgin Islands,39936,0.51,204,266,150,105,1.06,39.1,43.9,0
216,Monaco,38087,0,0,25562,1,106,2.08,53.1,0,0
217,Marshall Islands,35075,0,0,195,180,0,2.77,20.5,0,0
218,San Marino,33605,0.1,33,560,60,127,1.17,49.1,0,0
219,Caribbean Netherlands,31913,1.83,575,97,328,509,1.44,39.7,64.9,0
220,Saint Martin,23898,0,0,451,53,0,2.59,43.9,0,0
221,Palau,17614,0,0,38,460,0,1.84,38.9,0,0
222,Anguilla,14817,0.6,89,165,90,33,1.34,39.1,0,0
223,Cook Islands,12826,0,0,53,240,0,1.98,38.1,0,0
224,Nauru,12101,0.63,76,605,20,0,3.21,20.2,93.8,0
225,Saint Barthelemy,11550,1.19,136,550,21,143,0.84,39.1,0,0
226,Wallis & Futuna,11113,0,0,79,140,0,1.39,38.6,0,0
227,Tuvalu,9362,0,0,312,30,0,3.1,24.1,89,0
228,Saint Pierre & Miquelon,5513,0,0,24,230,0,1.28,47.6,0,0
229,Saint Helena,5147,0,0,13,390,0,1.64,51,34.1,0
230,Montserrat,4328,0,0,43,100,0,1.45,41.8,11.7,0
231,Falkland Islands,3465,0,0,0,12170,0,1.69,43.4,68.4,0
232,Tokelau,2691,3.18,83,269,10,43,2.54,27.6,0,0
233,Niue,1822,0.05,1,7,260,2,2.44,35.1,45.2,0
234,Holy See,506,1,5,1265,0,13,1,56.2,0,0
